;numer_sta;date;t
12018;7630;20200126000000;282.45
12078;7630;20200126030000;280.15
12139;7630;20200126060000;278.65
12199;7630;20200126090000;280.75
12259;7630;20200126120000;283.65
12319;7630;20200126150000;284.25
12379;7630;20200126180000;281.35
12440;7630;20200126210000;278.75
12499;7630;20200127000000;276.95
12558;7630;20200127030000;275.35
12618;7630;20200127060000;274.75
12677;7630;20200127090000;276.65
12738;7630;20200127120000;281.55
12798;7630;20200127150000;283.45
12858;7630;20200127180000;281.85
12918;7630;20200127210000;279.95
12977;7630;20200128000000;279.15
13037;7630;20200128030000;278.85
13097;7630;20200128060000;281.75
13157;7630;20200128090000;282.85
13216;7630;20200128120000;284.05
13275;7630;20200128150000;283.85
13334;7630;20200128180000;283.15
13394;7630;20200128210000;280.65
13453;7630;20200129000000;280.55
13511;7630;20200129030000;280.45
13569;7630;20200129060000;279.75
13628;7630;20200129090000;280.75
13687;7630;20200129120000;285.55
13745;7630;20200129150000;286.05
13803;7630;20200129180000;284.25
13862;7630;20200129210000;282.15
13921;7630;20200130000000;282.85
13978;7630;20200130030000;282.15
14036;7630;20200130060000;281.85
14095;7630;20200130090000;282.65
14155;7630;20200130120000;286.55
14216;7630;20200130150000;287.65
14275;7630;20200130180000;286.05
14333;7630;20200130210000;284.15
14392;7630;20200131000000;283.25
14452;7630;20200131030000;283.25
14512;7630;20200131060000;283.15
14571;7630;20200131090000;284.65
14632;7630;20200131120000;290.15
14691;7630;20200131150000;290.05
14750;7630;20200131180000;287.45
14808;7630;20200131210000;284.55
